City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
81,Ponta Do Sol,PT,32.67,-17.1,62.6,63,40,9.17,scattered clouds
82,Kimitsu,JP,35.33,139.89,62.01,48,20,18.34,few clouds
83,Lagoa,PT,39.05,-27.98,55.81,65,13,24.79,few clouds
84,Redwater,US,33.36,-94.25,60.8,72,90,6.93,overcast clouds
85,Goderich,CA,43.75,-81.72,42.8,81,100,11.41,overcast clouds
86,Batagay,RU,67.63,134.63,-9.94,90,100,0.58,overcast clouds
87,Egvekinot,RU,66.32,-179.17,14.59,94,59,15.93,broken clouds
88,Mtambile,TZ,-5.38,39.7,78.71,82,8,3.65,moderate rain
89,Aitape,PG,-3.14,142.35,86.59,65,100,3.67,heavy intensity rain
90,Airai,TL,-8.93,125.41,79.93,46,25,3.18,scattered clouds
91,Tukrah,LY,32.53,20.58,57.79,67,0,7.65,clear sky
92,Hermanus,ZA,-34.42,19.23,63.0,80,100,16.28,light rain
93,Kapit,MY,2.02,112.93,73.96,95,100,0.07,overcast clouds
94,Banepa,NP,27.63,85.52,44.6,87,20,3.36,mist
95,Georgetown,MY,5.41,100.34,80.6,88,20,5.82,few clouds
96,Cidreira,BR,-30.18,-50.21,71.15,90,98,17.07,overcast clouds
97,Kant,IN,27.8,79.8,59.25,47,0,6.02,clear sky
98,Bagdarin,RU,54.43,113.6,4.77,84,47,3.87,scattered clouds
99,Calvinia,ZA,-31.47,19.78,58.06,46,0,4.25,clear sky
100,Mount Gambier,AU,-37.83,140.77,64.4,77,40,17.22,light rain
101,Khatanga,RU,71.97,102.5,15.12,96,100,17.4,light snow
102,Preobrazheniye,RU,42.9,133.91,24.94,78,0,6.69,clear sky
103,Avarua,CK,-21.21,-159.78,78.8,74,44,17.22,scattered clouds
104,Russell,US,32.35,-85.2,66.2,93,40,3.36,scattered clouds
105,Araouane,ML,18.9,-3.53,68.29,23,0,8.28,clear sky
106,Puerto Ayora,EC,-0.74,-90.35,71.01,86,77,4.0,broken clouds
107,Barrow,US,71.29,-156.79,3.2,84,1,11.41,clear sky
